
2024/01/27 (23:26:03) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/28 (13:08:30) | ===> btop++ v.1.3.0
2024/01/28 (13:08:30) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/30 (14:29:16) | ===> btop++ v.1.3.0
2024/01/30 (14:29:16) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/01/31 (11:21:50) | ===> btop++ v.1.3.0
2024/01/31 (11:21:50) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/01 (11:30:49) | ===> btop++ v.1.3.0
2024/02/01 (11:30:49) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/07 (14:37:48) | ===> btop++ v.1.3.0
2024/02/07 (14:37:48) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/07 (14:41:09) | ===> btop++ v.1.3.0
2024/02/07 (14:41:09) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/10 (12:20:09) | ===> btop++ v.1.3.0
2024/02/10 (12:20:09) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/12 (11:57:53) | ===> btop++ v.1.3.0
2024/02/12 (11:57:53) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/12 (13:14:48) | ===> btop++ v.1.3.0
2024/02/12 (13:14:48) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/12 (13:26:23) | ===> btop++ v.1.3.0
2024/02/12 (13:26:23) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/12 (13:27:19) | ===> btop++ v.1.3.0
2024/02/12 (13:27:19) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/12 (13:30:40) | ===> btop++ v.1.3.0
2024/02/12 (13:30:40) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/12 (13:36:32) | ===> btop++ v.1.3.0
2024/02/12 (13:36:32) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/12 (13:44:12) | ===> btop++ v.1.3.0
2024/02/12 (13:44:12) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

2024/02/12 (15:01:45) | ===> btop++ v.1.3.0
2024/02/12 (15:01:45) | WARNING: Failed to set locale hu_HU.UTF-8 continuing anyway.

